locat169 comcat.ComcatLocalCatalog test3 opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt us20003k7a 0.001 90.0 400.0 4.5
Loading catalog: [opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt]
Fetching event: us20003k7a
ObsEqkRupture:
rup_event_id = us20003k7a
rup_time = 1442444072860 (2015-09-16 22:54:32 UTC)
rup_mag = 8.3
rup_lat = -31.5729
rup_lon = -71.6744
rup_depth = 22.44
description = 48km W of Illapel, Chile
ids = ,us20003k7a,gcmt20150916225432,gcmt20150916225433,at00nuskyv,pt15259054,atlas20150916225432,
net = us
code = 20003k7a

Fetching event list
min_days = 0.001
max_days = 90.0
radius_km = 400.0
min_mag = 4.5
Events returned by fetchEventList = 382
List of events returned by fetchEventList:
0: us20004h0s (time = 2015-12-14 09:12:17 UTC, mag = 4.500, lat = -30.37840, lon = -72.18190, depth = 10.000)
1: us20004gx7 (time = 2015-12-13 17:31:07 UTC, mag = 4.800, lat = -30.55920, lon = -72.07870, depth = 10.000)
2: us20004grc (time = 2015-12-12 15:08:58 UTC, mag = 4.600, lat = -35.00650, lon = -71.94350, depth = 41.270)
3: us1000454p (time = 2015-12-08 12:56:07 UTC, mag = 5.600, lat = -30.80960, lon = -71.75190, depth = 25.000)
4: us100044sc (time = 2015-12-07 17:41:15 UTC, mag = 4.600, lat = -30.31820, lon = -72.16960, depth = 12.580)
5: us100044k5 (time = 2015-12-07 07:51:11 UTC, mag = 5.500, lat = -31.39850, lon = -71.26240, depth = 49.530)
6: us100042yl (time = 2015-12-03 08:32:46 UTC, mag = 4.500, lat = -29.75220, lon = -71.67100, depth = 34.820)
7: us100042n3 (time = 2015-12-02 09:38:27 UTC, mag = 4.800, lat = -30.39440, lon = -72.11070, depth = 10.000)
8: us100042ev (time = 2015-12-01 12:08:33 UTC, mag = 4.700, lat = -30.29530, lon = -71.57110, depth = 35.440)
9: us100042dx (time = 2015-12-01 07:26:14 UTC, mag = 4.700, lat = -31.60110, lon = -71.48250, depth = 40.190)
10: us100041v0 (time = 2015-11-28 07:48:53 UTC, mag = 4.500, lat = -32.11310, lon = -69.42500, depth = 110.990)
11: us100041um (time = 2015-11-28 06:08:34 UTC, mag = 4.500, lat = -30.66950, lon = -71.80280, depth = 22.150)
12: us100041ui (time = 2015-11-28 05:44:40 UTC, mag = 5.600, lat = -30.36880, lon = -72.15100, depth = 10.000)
13: us100041t1 (time = 2015-11-27 19:51:29 UTC, mag = 4.600, lat = -29.64210, lon = -72.93610, depth = 10.000)
14: us100041c0 (time = 2015-11-25 20:57:58 UTC, mag = 4.600, lat = -29.43910, lon = -72.17160, depth = 10.000)
15: us1000410u (time = 2015-11-24 23:42:07 UTC, mag = 4.700, lat = -31.72620, lon = -71.91130, depth = 15.420)
16: us100040vb (time = 2015-11-24 21:19:56 UTC, mag = 4.600, lat = -31.86980, lon = -72.19520, depth = 10.000)
17: us100040mw (time = 2015-11-24 09:14:15 UTC, mag = 5.000, lat = -31.80140, lon = -72.12660, depth = 10.130)
18: us100040ag (time = 2015-11-22 07:59:50 UTC, mag = 4.600, lat = -31.13150, lon = -72.76970, depth = 10.000)
19: us1000409y (time = 2015-11-22 05:57:37 UTC, mag = 4.700, lat = -30.36840, lon = -71.95950, depth = 10.000)
20: us10004077 (time = 2015-11-21 23:05:30 UTC, mag = 5.800, lat = -30.57540, lon = -71.76760, depth = 27.000)
21: us10003zh0 (time = 2015-11-19 07:47:27 UTC, mag = 4.500, lat = -30.35130, lon = -72.11780, depth = 8.210)
22: us10003ytn (time = 2015-11-16 20:52:19 UTC, mag = 4.600, lat = -30.28950, lon = -72.01550, depth = 7.800)
23: us10003xfv (time = 2015-11-11 18:33:42 UTC, mag = 4.600, lat = -29.87260, lon = -72.02110, depth = 7.090)
24: us10003xc3 (time = 2015-11-11 09:14:14 UTC, mag = 4.500, lat = -29.42130, lon = -71.94340, depth = 13.620)
25: us10003xc2 (time = 2015-11-11 09:07:45 UTC, mag = 4.600, lat = -29.64980, lon = -72.09460, depth = 10.000)
26: us10003xbh (time = 2015-11-11 07:42:21 UTC, mag = 4.500, lat = -29.47560, lon = -72.04610, depth = 12.070)
27: us10003xak (time = 2015-11-11 07:08:56 UTC, mag = 4.600, lat = -29.48480, lon = -72.10070, depth = 13.000)
28: us10003xai (time = 2015-11-11 06:35:14 UTC, mag = 4.500, lat = -29.66240, lon = -72.14800, depth = 10.000)
29: us10003xa3 (time = 2015-11-11 03:40:24 UTC, mag = 4.500, lat = -29.44920, lon = -72.04600, depth = 10.000)
30: us10003y46 (time = 2015-11-11 03:13:13 UTC, mag = 4.800, lat = -29.66660, lon = -71.97280, depth = 13.320)
31: us10003x9t (time = 2015-11-11 03:07:49 UTC, mag = 5.100, lat = -29.52590, lon = -72.10180, depth = 10.000)
32: us10003x9g (time = 2015-11-11 02:46:19 UTC, mag = 6.900, lat = -29.50970, lon = -72.05850, depth = 10.000)
33: us10003y43 (time = 2015-11-11 02:29:59 UTC, mag = 4.500, lat = -29.49280, lon = -72.07670, depth = 10.000)
34: us10003y54 (time = 2015-11-11 02:26:30 UTC, mag = 4.600, lat = -29.48240, lon = -72.11490, depth = 11.620)
35: us10003x94 (time = 2015-11-11 02:23:39 UTC, mag = 5.100, lat = -29.46580, lon = -71.92880, depth = 10.000)
36: us10003x96 (time = 2015-11-11 02:18:04 UTC, mag = 4.800, lat = -29.40890, lon = -71.90350, depth = 15.160)
37: us10003x90 (time = 2015-11-11 02:14:39 UTC, mag = 4.800, lat = -29.49500, lon = -72.06180, depth = 10.000)
38: us10003xa2 (time = 2015-11-11 02:06:36 UTC, mag = 4.900, lat = -29.46810, lon = -71.92800, depth = 10.000)
39: us100041dt (time = 2015-11-11 02:01:05 UTC, mag = 5.100, lat = -29.55980, lon = -72.11010, depth = 10.000)
40: us10003x8t (time = 2015-11-11 01:54:38 UTC, mag = 6.900, lat = -29.50670, lon = -72.00680, depth = 12.000)
41: us10003wa5 (time = 2015-11-10 12:58:38 UTC, mag = 4.600, lat = -30.80450, lon = -71.37060, depth = 43.180)
42: us10003xvk (time = 2015-11-09 14:59:20 UTC, mag = 4.500, lat = -29.46080, lon = -72.21700, depth = 10.000)
