locat161 comcat.ComcatLocalCatalog test3 opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt us20003k7a 0.001 30.0 400.0 3.5
Loading catalog: [opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt]
Fetching event: us20003k7a
ObsEqkRupture:
rup_event_id = us20003k7a
rup_time = 1442444072860 (2015-09-16 22:54:32 UTC)
rup_mag = 8.3
rup_lat = -31.5729
rup_lon = -71.6744
rup_depth = 22.44
description = 48km W of Illapel, Chile
ids = ,us20003k7a,gcmt20150916225432,gcmt20150916225433,at00nuskyv,pt15259054,atlas20150916225432,
net = us
code = 20003k7a

Fetching event list
min_days = 0.001
max_days = 30.0
radius_km = 400.0
min_mag = 3.5
Events returned by fetchEventList = 697
List of events returned by fetchEventList:
0: us10003p6i (time = 2015-10-16 16:58:27 UTC, mag = 4.100, lat = -30.52650, lon = -71.74780, depth = 35.000)
1: us10003p4f (time = 2015-10-16 12:49:09 UTC, mag = 4.200, lat = -31.43590, lon = -71.93700, depth = 30.080)
2: us10003p26 (time = 2015-10-16 06:50:35 UTC, mag = 4.100, lat = -30.56890, lon = -71.43960, depth = 25.390)
3: us10003p0e (time = 2015-10-15 22:18:45 UTC, mag = 4.000, lat = -30.62140, lon = -71.82780, depth = 27.470)
4: us10003nyw (time = 2015-10-15 20:39:01 UTC, mag = 4.200, lat = -30.57450, lon = -71.65550, depth = 29.540)
5: us10003ny7 (time = 2015-10-15 19:23:22 UTC, mag = 4.900, lat = -30.56320, lon = -71.62010, depth = 35.820)
6: us10003nuj (time = 2015-10-15 11:03:11 UTC, mag = 4.700, lat = -30.82170, lon = -71.81660, depth = 34.330)
7: us10003nkg (time = 2015-10-14 11:30:42 UTC, mag = 4.400, lat = -33.35800, lon = -72.68580, depth = 10.000)
8: us10003nj3 (time = 2015-10-14 08:35:37 UTC, mag = 4.200, lat = -31.26400, lon = -71.46000, depth = 49.900)
9: us10003q90 (time = 2015-10-14 03:48:00 UTC, mag = 4.200, lat = -30.39530, lon = -71.85610, depth = 18.410)
10: us10003ngy (time = 2015-10-13 23:25:58 UTC, mag = 4.000, lat = -30.92690, lon = -72.13970, depth = 7.280)
11: us10003ndh (time = 2015-10-13 19:33:02 UTC, mag = 4.100, lat = -31.22520, lon = -71.57000, depth = 40.840)
12: us10003q7q (time = 2015-10-13 11:16:25 UTC, mag = 4.300, lat = -30.59030, lon = -71.40130, depth = 42.250)
13: us10003n8a (time = 2015-10-13 09:29:03 UTC, mag = 4.200, lat = -34.08470, lon = -72.37960, depth = 11.930)
14: us10003n89 (time = 2015-10-13 09:17:17 UTC, mag = 4.300, lat = -30.08250, lon = -71.91320, depth = 10.000)
15: us10003n69 (time = 2015-10-13 01:05:31 UTC, mag = 4.400, lat = -30.43560, lon = -71.62200, depth = 24.510)
16: us10003n5f (time = 2015-10-13 00:15:14 UTC, mag = 4.100, lat = -30.71300, lon = -71.57500, depth = 34.800)
17: us10003n55 (time = 2015-10-12 23:30:26 UTC, mag = 4.300, lat = -30.49150, lon = -72.16140, depth = 10.000)
18: us10003n28 (time = 2015-10-12 17:07:22 UTC, mag = 4.200, lat = -33.39200, lon = -72.36800, depth = 20.000)
19: us10003n20 (time = 2015-10-12 16:46:43 UTC, mag = 4.600, lat = -30.59180, lon = -71.71460, depth = 20.020)
20: us10003n1t (time = 2015-10-12 16:01:02 UTC, mag = 4.600, lat = -30.78400, lon = -71.50770, depth = 35.720)
21: us10003mze (time = 2015-10-12 14:59:21 UTC, mag = 4.200, lat = -30.56270, lon = -71.69700, depth = 26.220)
22: us10003mz7 (time = 2015-10-12 14:47:59 UTC, mag = 4.000, lat = -31.12830, lon = -71.82060, depth = 34.600)
23: us10003mz0 (time = 2015-10-12 14:09:42 UTC, mag = 4.500, lat = -31.13680, lon = -71.96080, depth = 19.160)
24: us10003myl (time = 2015-10-12 10:27:59 UTC, mag = 4.200, lat = -30.42900, lon = -71.68400, depth = 31.300)
25: us10003mxp (time = 2015-10-12 06:58:57 UTC, mag = 4.500, lat = -29.65340, lon = -71.70640, depth = 55.990)
26: us10003mxk (time = 2015-10-12 05:10:19 UTC, mag = 4.100, lat = -31.13880, lon = -71.93830, depth = 37.170)
27: us10003mxi (time = 2015-10-12 04:50:18 UTC, mag = 4.000, lat = -31.18600, lon = -71.73500, depth = 26.400)
