locat158 comcat.ComcatLocalCatalog test3 opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt us20003k7a -0.001 7.0 400.0 3.5
Loading catalog: [opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt]
Fetching event: us20003k7a
ObsEqkRupture:
rup_event_id = us20003k7a
rup_time = 1442444072860 (2015-09-16 22:54:32 UTC)
rup_mag = 8.3
rup_lat = -31.5729
rup_lon = -71.6744
rup_depth = 22.44
description = 48km W of Illapel, Chile
ids = ,us20003k7a,gcmt20150916225432,gcmt20150916225433,at00nuskyv,pt15259054,atlas20150916225432,
net = us
code = 20003k7a

Fetching event list
min_days = -0.001
max_days = 7.0
radius_km = 400.0
min_mag = 3.5
Events returned by fetchEventList = 501
List of events returned by fetchEventList:
0: us20003nif (time = 2015-09-23 22:48:49 UTC, mag = 4.000, lat = -31.74980, lon = -72.03340, depth = 15.830)
1: us20003nie (time = 2015-09-23 22:39:22 UTC, mag = 4.100, lat = -31.79750, lon = -72.11760, depth = 9.440)
2: us20003ni9 (time = 2015-09-23 21:58:51 UTC, mag = 4.300, lat = -30.60480, lon = -72.67160, depth = 10.000)
3: us20003nfv (time = 2015-09-23 19:32:16 UTC, mag = 4.200, lat = -30.28220, lon = -72.02090, depth = 18.720)
4: us20003ne2 (time = 2015-09-23 17:30:37 UTC, mag = 4.200, lat = -31.47330, lon = -72.06100, depth = 20.930)
5: us20003ndp (time = 2015-09-23 17:06:10 UTC, mag = 4.300, lat = -30.29650, lon = -73.09430, depth = 10.000)
6: us20003nch (time = 2015-09-23 15:51:53 UTC, mag = 4.300, lat = -30.88250, lon = -71.79790, depth = 29.760)
7: us20003nc8 (time = 2015-09-23 15:25:13 UTC, mag = 4.000, lat = -31.54080, lon = -71.89320, depth = 33.530)
8: us20003nw2 (time = 2015-09-23 15:09:48 UTC, mag = 4.200, lat = -30.98830, lon = -71.58330, depth = 27.940)
9: us20003nc2 (time = 2015-09-23 15:06:46 UTC, mag = 4.300, lat = -32.37790, lon = -72.31520, depth = 10.000)
10: us20003nbv (time = 2015-09-23 14:53:39 UTC, mag = 4.400, lat = -30.84800, lon = -71.56700, depth = 42.300)
11: us20003nbs (time = 2015-09-23 14:47:28 UTC, mag = 4.300, lat = -31.43360, lon = -71.86870, depth = 10.000)
12: us20003nbe (time = 2015-09-23 14:05:57 UTC, mag = 4.400, lat = -31.42310, lon = -71.55870, depth = 35.000)
13: us20003nb0 (time = 2015-09-23 12:55:02 UTC, mag = 4.400, lat = -31.61560, lon = -72.00090, depth = 26.760)
14: us20003nam (time = 2015-09-23 11:32:40 UTC, mag = 5.000, lat = -31.61910, lon = -71.95050, depth = 10.000)
15: us20003n9k (time = 2015-09-23 10:05:49 UTC, mag = 4.500, lat = -31.54200, lon = -71.97040, depth = 10.000)
16: us20003n9c (time = 2015-09-23 09:20:45 UTC, mag = 4.300, lat = -30.64620, lon = -71.74940, depth = 25.180)
17: us20003n83 (time = 2015-09-23 05:23:54 UTC, mag = 4.400, lat = -30.40210, lon = -72.10710, depth = 10.000)
18: us20003n7l (time = 2015-09-23 04:21:27 UTC, mag = 4.600, lat = -31.33380, lon = -71.94460, depth = 11.380)
19: us20003n7d (time = 2015-09-23 03:59:20 UTC, mag = 4.100, lat = -31.69400, lon = -72.24070, depth = 10.000)
20: us10003ldm (time = 2015-09-23 02:01:39 UTC, mag = 4.600, lat = -31.14050, lon = -72.71480, depth = 10.000)
21: us20003n6t (time = 2015-09-23 01:52:10 UTC, mag = 4.000, lat = -31.59020, lon = -72.46770, depth = 10.000)
22: us20003n5l (time = 2015-09-23 00:23:46 UTC, mag = 4.300, lat = -31.63400, lon = -71.27400, depth = 44.500)
23: us20003n56 (time = 2015-09-22 23:25:44 UTC, mag = 4.000, lat = -32.29100, lon = -71.87700, depth = 15.700)
24: us20003n4g (time = 2015-09-22 22:26:41 UTC, mag = 4.300, lat = -31.01450, lon = -71.66760, depth = 34.430)
25: us20003n3c (time = 2015-09-22 21:28:50 UTC, mag = 4.300, lat = -29.75500, lon = -71.72900, depth = 13.900)
26: us20003n2p (time = 2015-09-22 20:46:00 UTC, mag = 4.700, lat = -30.94140, lon = -71.96560, depth = 20.100)
27: us20003mz2 (time = 2015-09-22 16:45:06 UTC, mag = 4.100, lat = -32.19580, lon = -72.35850, depth = 10.000)
28: us10003lcx (time = 2015-09-22 14:50:16 UTC, mag = 4.300, lat = -30.56120, lon = -72.03550, depth = 10.000)
29: us20003mw6 (time = 2015-09-22 14:45:51 UTC, mag = 4.000, lat = -31.21190, lon = -71.97000, depth = 17.860)
30: us20003mvw (time = 2015-09-22 13:40:32 UTC, mag = 4.300, lat = -33.27260, lon = -71.30360, depth = 49.060)
31: us20003mvn (time = 2015-09-22 13:17:20 UTC, mag = 4.400, lat = -32.16970, lon = -72.04980, depth = 16.070)
32: us20003mv9 (time = 2015-09-22 10:41:26 UTC, mag = 4.200, lat = -30.76060, lon = -71.91770, depth = 24.030)
33: us20003mt3 (time = 2015-09-22 08:54:24 UTC, mag = 4.200, lat = -31.52590, lon = -72.16500, depth = 10.000)
34: us20003mt0 (time = 2015-09-22 08:37:34 UTC, mag = 4.400, lat = -30.41600, lon = -71.59600, depth = 23.600)
35: us20003msd (time = 2015-09-22 07:13:00 UTC, mag = 6.000, lat = -31.44410, lon = -71.26530, depth = 58.000)
36: us20003ms8 (time = 2015-09-22 07:03:55 UTC, mag = 4.800, lat = -32.14830, lon = -72.34870, depth = 10.000)
37: us20003mrv (time = 2015-09-22 05:55:30 UTC, mag = 4.300, lat = -30.45600, lon = -72.66020, depth = 10.000)
38: us20003mrs (time = 2015-09-22 05:32:51 UTC, mag = 4.400, lat = -30.50740, lon = -72.01600, depth = 13.730)
39: us10003lc1 (time = 2015-09-22 03:38:46 UTC, mag = 4.200, lat = -31.66340, lon = -72.27850, depth = 14.240)
40: us20003mq3 (time = 2015-09-22 03:11:12 UTC, mag = 4.400, lat = -30.07240, lon = -72.13240, depth = 10.780)
41: us10003lbz (time = 2015-09-22 02:48:24 UTC, mag = 4.400, lat = -30.23540, lon = -72.58390, depth = 10.000)
42: us20003mpx (time = 2015-09-22 02:46:39 UTC, mag = 4.200, lat = -31.71870, lon = -72.76940, depth = 16.940)
43: us20003mpt (time = 2015-09-22 02:34:55 UTC, mag = 4.100, lat = -29.73630, lon = -72.19360, depth = 10.000)
44: us20003mp8 (time = 2015-09-22 01:14:55 UTC, mag = 4.400, lat = -32.16200, lon = -72.10670, depth = 16.380)
45: us20003mla (time = 2015-09-21 21:17:07 UTC, mag = 4.400, lat = -33.05980, lon = -72.14470, depth = 12.100)
46: us20003mkq (time = 2015-09-21 20:59:37 UTC, mag = 4.500, lat = -29.47440, lon = -72.26870, depth = 10.000)
47: us20003mjy (time = 2015-09-21 20:24:32 UTC, mag = 4.800, lat = -31.81660, lon = -72.19910, depth = 10.000)
48: us20003mjr (time = 2015-09-21 20:05:38 UTC, mag = 4.200, lat = -32.16830, lon = -72.31300, depth = 10.000)
49: us20003mjn (time = 2015-09-21 19:56:08 UTC, mag = 5.600, lat = -31.78190, lon = -71.64070, depth = 28.360)
50: us20003mj2 (time = 2015-09-21 19:08:03 UTC, mag = 4.200, lat = -31.61560, lon = -71.86040, depth = 22.700)
51: us10003lax (time = 2015-09-21 18:57:39 UTC, mag = 4.400, lat = -31.06930, lon = -72.02520, depth = 24.080)
52: us20003miu (time = 2015-09-21 18:47:07 UTC, mag = 4.700, lat = -31.74710, lon = -71.64190, depth = 37.590)
