locat176 comcat.ComcatLocalCatalog test3 opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt us20003k7a 30.000 90.0 400.0 3.5
Loading catalog: [opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt]
Fetching event: us20003k7a
ObsEqkRupture:
rup_event_id = us20003k7a
rup_time = 1442444072860 (2015-09-16 22:54:32 UTC)
rup_mag = 8.3
rup_lat = -31.5729
rup_lon = -71.6744
rup_depth = 22.44
description = 48km W of Illapel, Chile
ids = ,us20003k7a,gcmt20150916225432,gcmt20150916225433,at00nuskyv,pt15259054,atlas20150916225432,
net = us
code = 20003k7a

Fetching event list
min_days = 30.0
max_days = 90.0
radius_km = 400.0
min_mag = 3.5
Events returned by fetchEventList = 209
List of events returned by fetchEventList:
44: us100041ui (time = 2015-11-28 05:44:40 UTC, mag = 5.600, lat = -30.36880, lon = -72.15100, depth = 10.000)
45: us100041t1 (time = 2015-11-27 19:51:29 UTC, mag = 4.600, lat = -29.64210, lon = -72.93610, depth = 10.000)
46: us100041ns (time = 2015-11-27 08:31:29 UTC, mag = 4.200, lat = -30.81560, lon = -72.72180, depth = 10.000)
47: us100041et (time = 2015-11-26 05:08:28 UTC, mag = 4.000, lat = -30.70870, lon = -71.88490, depth = 25.130)
48: us100041c0 (time = 2015-11-25 20:57:58 UTC, mag = 4.600, lat = -29.43910, lon = -72.17160, depth = 10.000)
49: us100041b9 (time = 2015-11-25 19:55:54 UTC, mag = 4.300, lat = -29.33300, lon = -72.12050, depth = 10.000)
50: us1000410u (time = 2015-11-24 23:42:07 UTC, mag = 4.700, lat = -31.72620, lon = -71.91130, depth = 15.420)
51: us100040vb (time = 2015-11-24 21:19:56 UTC, mag = 4.600, lat = -31.86980, lon = -72.19520, depth = 10.000)
52: us100040t5 (time = 2015-11-24 15:58:27 UTC, mag = 4.200, lat = -34.16800, lon = -72.33200, depth = 16.520)
53: us100040pr (time = 2015-11-24 11:21:03 UTC, mag = 4.200, lat = -31.86360, lon = -72.22360, depth = 11.060)
54: us100040mw (time = 2015-11-24 09:14:15 UTC, mag = 5.000, lat = -31.80140, lon = -72.12660, depth = 10.130)
55: us100040mh (time = 2015-11-24 04:46:58 UTC, mag = 4.200, lat = -31.85780, lon = -72.18580, depth = 3.450)
56: us100040fv (time = 2015-11-23 04:37:48 UTC, mag = 4.000, lat = -31.52740, lon = -71.92380, depth = 24.050)
57: us100040bh (time = 2015-11-22 12:49:02 UTC, mag = 4.300, lat = -30.72600, lon = -71.44390, depth = 53.730)
58: us100040ag (time = 2015-11-22 07:59:50 UTC, mag = 4.600, lat = -31.13150, lon = -72.76970, depth = 10.000)
59: us1000409y (time = 2015-11-22 05:57:37 UTC, mag = 4.700, lat = -30.36840, lon = -71.95950, depth = 10.000)
60: us10004099 (time = 2015-11-22 03:01:26 UTC, mag = 4.400, lat = -30.57440, lon = -71.93130, depth = 22.880)
61: us10004077 (time = 2015-11-21 23:05:30 UTC, mag = 5.800, lat = -30.57540, lon = -71.76760, depth = 27.000)
