rj01 rj.GenericRJ_ParametersFetch test1
56.04640, -149.07280, 25.00000, SZ (outer-trench): RJ_Params[a=-2.42, aSigma=0.64, aSigma0=0.49, aSigma1=540.0, b=1.0, p=0.92, c=0.018, aMin=-4.5, aMax=-0.5, aDelta=0.01]
56.04640, 210.92720, 25.00000, SZ (outer-trench): RJ_Params[a=-2.42, aSigma=0.64, aSigma0=0.49, aSigma1=540.0, b=1.0, p=0.92, c=0.018, aMin=-4.5, aMax=-0.5, aDelta=0.01]
56.04640, 210.92720, 20.00000, SZ (outer-trench): RJ_Params[a=-2.42, aSigma=0.64, aSigma0=0.49, aSigma1=540.0, b=1.0, p=0.92, c=0.018, aMin=-4.5, aMax=-0.5, aDelta=0.01]
56.04640, 210.92720, 15.00000, SZ (outer-trench): RJ_Params[a=-2.42, aSigma=0.64, aSigma0=0.49, aSigma1=540.0, b=1.0, p=0.92, c=0.018, aMin=-4.5, aMax=-0.5, aDelta=0.01]
56.04640, 210.92720, 10.00000, SZ (outer-trench): RJ_Params[a=-2.42, aSigma=0.64, aSigma0=0.49, aSigma1=540.0, b=1.0, p=0.92, c=0.018, aMin=-4.5, aMax=-0.5, aDelta=0.01]
56.04640, 210.92720, 5.00000, SZ (outer-trench): RJ_Params[a=-2.42, aSigma=0.64, aSigma0=0.49, aSigma1=540.0, b=1.0, p=0.92, c=0.018, aMin=-4.5, aMax=-0.5, aDelta=0.01]
56.04640, 210.92720, 0.00000, SZ (outer-trench): RJ_Params[a=-2.42, aSigma=0.64, aSigma0=0.49, aSigma1=540.0, b=1.0, p=0.92, c=0.018, aMin=-4.5, aMax=-0.5, aDelta=0.01]
28.23050, 84.73140, 8.22000, ACR (deep): RJ_Params[a=-2.13, aSigma=0.52, aSigma0=0.49, aSigma1=250.0, b=1.0, p=0.98, c=0.018, aMin=-4.5, aMax=-0.5, aDelta=0.01]
35.00000, -118.00000, 7.00000, CAL-SCSN: RJ_Params[a=-2.3, aSigma=0.5, aSigma0=0.5, aSigma1=0.0, b=1.0, p=0.83, c=0.0033, aMin=-4.5, aMax=-0.5, aDelta=0.01]
35.00000, -50.00000, 7.00000, SOR (generic): RJ_Params[a=-3.04, aSigma=0.67, aSigma0=0.49, aSigma1=650.0, b=1.0, p=0.97, c=0.018, aMin=-4.5, aMax=-0.5, aDelta=0.01]
34.00000, -119.00000, 15.00000, CAL-SCSN: RJ_Params[a=-2.3, aSigma=0.5, aSigma0=0.5, aSigma1=0.0, b=1.0, p=0.83, c=0.0033, aMin=-4.5, aMax=-0.5, aDelta=0.01]
40.00000, -122.00000, 15.00000, CAL-NCSS: RJ_Params[a=-2.64, aSigma=0.48, aSigma0=0.48, aSigma1=0.0, b=1.0, p=0.96, c=0.012, aMin=-4.5, aMax=-0.5, aDelta=0.01]
