regionName,rtx0,rty0,rtx1,rty1,rtx2,rty2,cmu,csigma,pmu,psigma,nzeta,nomega,nalpha,alt_rtx0,alt_rty0,alt_rtx1,alt_rty1,alt_rtx2,alt_rty2,alt_nzeta,alt_nomega,alt_nalpha,zams_dist,n_dist,bv_cpdist,bv_cpcorr,bv_cmu,bv_csigma,bv_pmu,bv_psigma
GLOBAL,0,1000,-0.61,339,0.54,105,0.0105,1.405,1.055,0.19,0.59,0.7,-2.7,0,1000,-0.95,322,1.53,94,0.7,0.45,-2.5,1,1,5,0.63,0.005,1.75,1.07,0.24
ANSR,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.62,0.68,-3.4,0,1000,-0.95,322,1.53,94,0.7,0.44,-3.4,1,1,5,0.46,0.0035,1.6,1.08,0.19
SCR,0,1000,-0.61,339,0.54,105,0.065,0.97,0.975,0.27,0.31,0.35,-1.1,0,1000,-0.95,322,1.53,94,0.23,0.25,0.7,1,1,5,0.76,0.07,1.5,1.065,0.26
SOR,0,1000,-0.61,339,0.54,105,0.0105,1.405,1.055,0.19,0.59,0.7,-2.7,0,1000,-0.95,322,1.53,94,0.7,0.45,-2.5,1,1,5,0.63,0.005,1.75,1.07,0.24
SZ,0,1000,-0.61,339,0.54,105,0.014,1.415,1.05,0.2,0.58,0.7,-2.4,0,1000,-0.95,322,1.53,94,0.7,0.44,-2.4,1,1,5,0.7,0.006,1.8,1.075,0.27
ANSR-ABSLDEC,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.39,0.41,-0.9,0,1000,-0.95,322,1.53,94,0.78,0.47,-2.9,1,1,5,0.46,0.0035,1.6,1.08,0.19
ANSR-ABSLOCB,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.62,0.68,-3.4,0,1000,-0.95,322,1.53,94,0.7,0.44,-3.4,1,1,5,0.46,0.0035,1.6,1.08,0.19
ANSR-ABSLSHC,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.62,0.68,-3.4,0,1000,-0.95,322,1.53,94,0.7,0.44,-3.4,1,1,5,0.46,0.0035,1.6,1.08,0.19
ANSR-DEEPCON,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.61,0.45,-2.2,0,1000,-0.95,322,1.53,94,0.74,0.46,-2.9,1,1,5,0.46,0.0035,1.6,1.08,0.19
ANSR-HOTSPOT,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.62,0.68,-3.4,0,1000,-0.95,322,1.53,94,0.7,0.44,-3.4,1,1,5,0.46,0.0035,1.6,1.08,0.19
ANSR-OCEANBD,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.26,0.56,-2.1,0,1000,-0.95,322,1.53,94,0.44,0.57,-1.9,1,1,5,0.46,0.0035,1.6,1.08,0.19
ANSR-SHALCON,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.79,0.66,-5.4,0,1000,-0.95,322,1.53,94,0.82,0.45,-4.4,1,1,5,0.46,0.0035,1.6,1.08,0.19
CAL-HYDROTHERMAL,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.85,0.32,-2.9,0,1000,-0.95,322,1.53,94,0.85,0.32,-2.9,1,1,5,0.46,0.0035,1.6,1.08,0.19
CAL-MENDOCINO,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.24,0.6,-1.6,0,1000,-0.95,322,1.53,94,0.7,0.44,-3.4,1,1,5,0.46,0.0035,1.6,1.08,0.19
CAL-NCSS,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.6,0.55,-4,0,1000,-0.95,322,1.53,94,0.65,0.4,-3.5,1,1,5,0.46,0.0035,1.6,1.08,0.19
CAL-SCSN,0,1000,-0.61,339,0.54,105,0.005,1.385,1.075,0.15,0.7,0.43,-3.8,0,1000,-0.95,322,1.53,94,0.72,0.34,-5,1,1,5,0.46,0.0035,1.6,1.08,0.19
SCR-ABVSLAB,0,1000,-0.61,339,0.54,105,0.065,0.97,0.975,0.27,0.31,0.35,-1.1,0,1000,-0.95,322,1.53,94,0.23,0.25,0.7,1,1,5,0.76,0.07,1.5,1.065,0.26
SCR-GENERIC,0,1000,-0.61,339,0.54,105,0.065,0.97,0.975,0.27,0.4,0.4,-1.5,0,1000,-0.95,322,1.53,94,0.18,0.3,1.5,1,1,5,0.76,0.07,1.5,1.065,0.26
SOR-ABVSLAB,0,1000,-0.61,339,0.54,105,0.0105,1.405,1.055,0.19,0.59,0.7,-2.7,0,1000,-0.95,322,1.53,94,0.7,0.45,-2.5,1,1,5,0.63,0.005,1.75,1.07,0.24
SOR-GENERIC,0,1000,-0.61,339,0.54,105,0.0105,1.405,1.055,0.19,0.59,0.7,-2.7,0,1000,-0.95,322,1.53,94,0.7,0.45,-2.5,1,1,5,0.63,0.005,1.75,1.07,0.24
SZ-GENERIC,0,1000,-0.61,339,0.54,105,0.014,1.415,1.05,0.2,0.55,0.71,-2.7,0,1000,-0.95,322,1.53,94,0.66,0.45,-2.6,1,1,5,0.7,0.006,1.8,1.075,0.27
SZ-INLBACK,0,1000,-0.61,339,0.54,105,0.014,1.415,1.05,0.2,0.67,0.46,-2.5,0,1000,-0.95,322,1.53,94,0.73,0.37,-1.5,1,1,5,0.7,0.006,1.8,1.075,0.27
SZ-ONSHORE,0,1000,-0.61,339,0.54,105,0.014,1.415,1.05,0.2,0.47,0.59,-1.9,0,1000,-0.95,322,1.53,94,0.63,0.4,-2.2,1,1,5,0.7,0.006,1.8,1.075,0.27
SZ-OUTERTR,0,1000,-0.61,339,0.54,105,0.014,1.415,1.05,0.2,1.04,0.66,-8,0,1000,-0.95,322,1.53,94,1.01,0.4,-7.7,1,1,5,0.7,0.006,1.8,1.075,0.27
