comcat265 comcat.ComcatOAFAccessor test11 usc000nzvd -0.001 365.0 100.0 3.5 0
Fetching event: usc000nzvd
https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/usc000nzvd.geojson
Count of events received = 1
ObsEqkRupture:
rup_event_id = usc000nzvd
rup_time = 1396396007260 (2014-04-01 23:46:47 UTC)
rup_mag = 8.2
rup_lat = -19.6097
rup_lon = -70.7691
rup_depth = 25.0
description = 93 km NW of Iquique, Chile
ids = ,pt14091000,at00n3dm1y,usc000nzvd,iscgem610102185,atlas20140401234647,
net = us
code = c000nzvd

http_status = 200
Fetching event list
min_days = -0.001
max_days = 365.0
radius_km = 100.0
min_mag = 3.5
limit_per_call = 0
https://earthquake.usgs.gov/fdsnws/event/1/query?endtime=2015-04-01T23:46:47.260Z&format=geojson&latitude=-19.60970&limit=20000&longitude=-70.76910&maxdepth=700.000&maxradius=0.89993&mindepth=-5.000&minmagnitude=3.500&orderby=time&starttime=2014-04-01T23:45:20.860Z
Count of events received = 419
Count of events after filtering = 418
Events filtered due to conversion = 0, location = 0, id = 1
Total number of events returned = 418
Events returned by fetchEventList = 418
http_status[0] = 200
List of events returned by fetchEventList:
0: us10001nyx (time = 2015-03-19 20:39:27 UTC, mag = 4.200, lat = -19.26400, lon = -70.22400, depth = 76.600)
1: usc000ts8e (time = 2015-02-22 05:40:20 UTC, mag = 4.600, lat = -20.07720, lon = -70.95370, depth = 13.150)
2: usb000tpcd (time = 2015-02-14 14:47:32 UTC, mag = 4.200, lat = -19.81200, lon = -71.20200, depth = 33.800)
3: usb000tngx (time = 2015-02-12 04:55:25 UTC, mag = 4.400, lat = -20.22800, lon = -70.87800, depth = 32.600)
4: usc000tnnq (time = 2015-02-10 14:22:52 UTC, mag = 4.200, lat = -19.78640, lon = -70.99100, depth = 16.030)
5: usc000ti7g (time = 2015-01-22 12:07:19 UTC, mag = 4.300, lat = -20.05000, lon = -70.90800, depth = 33.900)
6: usc000ti9u (time = 2015-01-10 21:08:01 UTC, mag = 4.100, lat = -20.31600, lon = -70.66700, depth = 32.600)
7: usc000tb79 (time = 2015-01-01 23:39:47 UTC, mag = 4.200, lat = -19.94480, lon = -70.98850, depth = 14.200)
8: usc000t9ve (time = 2014-12-24 18:37:03 UTC, mag = 4.300, lat = -19.86300, lon = -71.07900, depth = 36.400)
9: usc000t60i (time = 2014-12-12 15:10:14 UTC, mag = 4.100, lat = -19.89600, lon = -70.92400, depth = 33.000)
10: usc000t5xm (time = 2014-12-12 12:35:30 UTC, mag = 5.100, lat = -19.91720, lon = -70.92950, depth = 20.000)
11: usb000t2cx (time = 2014-12-03 02:29:00 UTC, mag = 4.900, lat = -19.98950, lon = -70.96770, depth = 11.860)
12: usc000t7cp (time = 2014-12-02 20:23:57 UTC, mag = 4.000, lat = -19.74600, lon = -71.02030, depth = 35.430)
13: usb000t208 (time = 2014-12-02 03:56:47 UTC, mag = 4.600, lat = -20.27900, lon = -71.05500, depth = 33.000)
14: usc000t6tz (time = 2014-11-30 01:27:07 UTC, mag = 4.100, lat = -19.93200, lon = -71.10000, depth = 40.000)
15: usb000t18p (time = 2014-11-29 20:19:43 UTC, mag = 4.400, lat = -19.97110, lon = -70.94670, depth = 14.420)
16: usb000t16j (time = 2014-11-29 14:18:07 UTC, mag = 5.300, lat = -19.99730, lon = -71.06880, depth = 6.070)
17: usb000syxg (time = 2014-11-22 06:50:53 UTC, mag = 5.000, lat = -20.06790, lon = -71.12750, depth = 14.650)
18: usc000sydj (time = 2014-11-18 08:36:02 UTC, mag = 4.600, lat = -19.89000, lon = -71.08800, depth = 35.600)
19: usc000succ (time = 2014-11-04 22:31:35 UTC, mag = 4.900, lat = -19.93900, lon = -70.97670, depth = 14.560)
20: usb000snyz (time = 2014-10-19 08:02:26 UTC, mag = 4.000, lat = -19.36340, lon = -71.09880, depth = 34.950)
21: usb000sl2a (time = 2014-10-11 08:51:22 UTC, mag = 4.200, lat = -19.91730, lon = -71.09240, depth = 15.310)
22: usb000sjig (time = 2014-10-07 13:05:51 UTC, mag = 4.900, lat = -20.06570, lon = -70.93820, depth = 15.590)
23: usb000sji8 (time = 2014-10-07 12:33:22 UTC, mag = 5.300, lat = -20.01570, lon = -70.98570, depth = 11.860)
24: usb000sg7m (time = 2014-09-26 08:02:29 UTC, mag = 4.200, lat = -20.00020, lon = -70.98600, depth = 14.570)
25: usb000sh1z (time = 2014-09-18 18:14:15 UTC, mag = 4.500, lat = -20.22840, lon = -70.87840, depth = 13.110)
26: usb000sgeb (time = 2014-09-17 21:59:36 UTC, mag = 4.100, lat = -20.20800, lon = -70.77100, depth = 39.200)
27: usb000sb9v (time = 2014-09-11 03:13:30 UTC, mag = 4.300, lat = -19.92460, lon = -70.91770, depth = 24.460)
28: usb000sae0 (time = 2014-08-27 18:13:34 UTC, mag = 4.400, lat = -19.69400, lon = -70.68600, depth = 40.000)
29: usb000s9pc (time = 2014-08-24 13:55:13 UTC, mag = 4.700, lat = -19.94070, lon = -71.04660, depth = 10.000)
30: usb000s3l2 (time = 2014-08-17 18:30:26 UTC, mag = 4.000, lat = -20.14000, lon = -70.36600, depth = 40.200)
31: usb000s3bl (time = 2014-08-16 10:10:48 UTC, mag = 4.800, lat = -20.01370, lon = -71.03650, depth = 10.000)
32: usb000s6aj (time = 2014-08-14 22:15:31 UTC, mag = 4.200, lat = -20.02650, lon = -70.81620, depth = 7.960)
33: usb000s2i1 (time = 2014-08-14 00:02:55 UTC, mag = 5.300, lat = -20.15800, lon = -70.02300, depth = 50.900)
34: usb000s2q4 (time = 2014-08-02 14:56:10 UTC, mag = 4.100, lat = -19.61200, lon = -70.66900, depth = 42.600)
35: usb000ryxi (time = 2014-07-31 16:55:58 UTC, mag = 3.900, lat = -20.49030, lon = -70.65770, depth = 24.810)
36: usb000ry9n (time = 2014-07-29 13:01:33 UTC, mag = 4.500, lat = -20.14140, lon = -70.44690, depth = 29.300)
37: usb000ry6b (time = 2014-07-29 00:47:18 UTC, mag = 4.400, lat = -20.13200, lon = -70.47800, depth = 32.500)
38: usb000s18r (time = 2014-07-28 16:23:02 UTC, mag = 4.600, lat = -19.91000, lon = -71.01950, depth = 10.000)
39: usb000rxzs (time = 2014-07-28 16:20:32 UTC, mag = 4.100, lat = -19.91510, lon = -71.07950, depth = 10.460)
40: usb000s0al (time = 2014-07-24 18:56:23 UTC, mag = 4.400, lat = -19.97100, lon = -70.96500, depth = 15.900)
41: usb000ruwb (time = 2014-07-21 00:21:27 UTC, mag = 5.000, lat = -20.14140, lon = -70.58730, depth = 25.590)
42: usb000ru22 (time = 2014-07-18 05:46:48 UTC, mag = 4.600, lat = -20.18650, lon = -70.87810, depth = 14.840)
43: usb000ru1u (time = 2014-07-18 05:24:10 UTC, mag = 5.000, lat = -20.15360, lon = -70.87070, depth = 14.810)
44: usb000rt3l (time = 2014-07-15 11:12:22 UTC, mag = 4.300, lat = -19.93600, lon = -70.11200, depth = 45.200)
45: usb000rsnz (time = 2014-07-13 20:54:14 UTC, mag = 5.500, lat = -20.25850, lon = -70.34750, depth = 33.120)
46: usb000rvfc (time = 2014-07-05 02:34:11 UTC, mag = 4.100, lat = -20.04900, lon = -70.91300, depth = 38.700)
47: usb000rvv2 (time = 2014-07-01 19:58:21 UTC, mag = 4.200, lat = -19.90880, lon = -71.03580, depth = 14.600)
48: usc000rnph (time = 2014-06-30 02:29:42 UTC, mag = 4.300, lat = -19.87000, lon = -70.89000, depth = 20.000)
49: usc000rmma (time = 2014-06-27 03:50:54 UTC, mag = 4.500, lat = -19.95310, lon = -70.99260, depth = 12.010)
50: usc000rrne (time = 2014-06-26 01:50:45 UTC, mag = 4.200, lat = -20.34710, lon = -70.73630, depth = 22.320)
51: usb000rw15 (time = 2014-06-24 01:08:27 UTC, mag = 3.800, lat = -19.83700, lon = -70.18900, depth = 46.900)
52: usb000rvhz (time = 2014-06-23 02:45:03 UTC, mag = 3.900, lat = -19.99570, lon = -71.01820, depth = 12.890)
53: usc000rj6r (time = 2014-06-20 22:42:48 UTC, mag = 4.000, lat = -19.72290, lon = -71.05150, depth = 22.770)
54: usb000rrty (time = 2014-06-20 21:51:20 UTC, mag = 4.000, lat = -19.72740, lon = -71.01840, depth = 13.330)
55: usc000rj2s (time = 2014-06-20 20:22:27 UTC, mag = 5.800, lat = -19.81010, lon = -71.00370, depth = 12.250)
56: usb000rru5 (time = 2014-06-20 19:57:27 UTC, mag = 4.200, lat = -19.81020, lon = -70.88850, depth = 29.470)
57: usc000rj14 (time = 2014-06-20 19:53:31 UTC, mag = 5.600, lat = -19.80270, lon = -70.92230, depth = 12.750)
58: usb000rh75 (time = 2014-06-19 20:45:01 UTC, mag = 4.500, lat = -19.89630, lon = -71.25100, depth = 13.670)
59: usb000rh5s (time = 2014-06-19 19:59:42 UTC, mag = 5.200, lat = -19.87010, lon = -70.85280, depth = 20.680)
60: usb000rh54 (time = 2014-06-19 19:54:04 UTC, mag = 5.800, lat = -19.84100, lon = -70.87010, depth = 10.600)
61: usb000rgu5 (time = 2014-06-19 11:26:13 UTC, mag = 4.600, lat = -20.02080, lon = -70.91330, depth = 14.390)
62: usb000rgrw (time = 2014-06-19 09:38:36 UTC, mag = 5.700, lat = -19.97490, lon = -70.94510, depth = 11.300)
63: usb000rgl5 (time = 2014-06-19 00:31:22 UTC, mag = 4.100, lat = -20.21460, lon = -70.87230, depth = 14.880)
64: usc000rp4k (time = 2014-06-18 23:30:48 UTC, mag = 3.900, lat = -20.20300, lon = -70.81050, depth = 15.030)
65: usc000rp4h (time = 2014-06-18 23:27:16 UTC, mag = 4.200, lat = -20.16470, lon = -70.80630, depth = 16.080)
66: usc000rp4i (time = 2014-06-18 23:24:59 UTC, mag = 3.800, lat = -20.23480, lon = -71.07770, depth = 24.810)
67: usc000rh5p (time = 2014-06-18 04:02:25 UTC, mag = 4.400, lat = -20.23530, lon = -70.84080, depth = 17.100)
68: usc000rfry (time = 2014-06-15 12:18:22 UTC, mag = 4.400, lat = -19.74600, lon = -71.02270, depth = 20.420)
69: usc000rmqc (time = 2014-06-15 12:12:26 UTC, mag = 4.000, lat = -19.75610, lon = -70.92710, depth = 17.620)
70: usc000rcsl (time = 2014-06-08 21:24:13 UTC, mag = 4.100, lat = -20.23080, lon = -70.83140, depth = 20.170)
71: usc000rckj (time = 2014-06-07 19:10:59 UTC, mag = 4.200, lat = -19.79100, lon = -71.15100, depth = 13.740)
72: usc000rmzs (time = 2014-06-05 23:10:10 UTC, mag = 4.300, lat = -19.74630, lon = -70.99680, depth = 16.350)
73: usc000rbsp (time = 2014-06-05 20:19:29 UTC, mag = 4.900, lat = -20.34300, lon = -70.22400, depth = 40.500)
74: usc000rmzz (time = 2014-06-05 05:44:58 UTC, mag = 4.200, lat = -19.90090, lon = -71.09730, depth = 15.310)
75: usc000rb7r (time = 2014-06-05 05:41:04 UTC, mag = 4.600, lat = -19.96450, lon = -71.06260, depth = 15.960)
76: usc000rmxv (time = 2014-06-04 12:29:09 UTC, mag = 4.200, lat = -19.94590, lon = -71.01910, depth = 13.170)
