comcat271 comcat.ComcatOAFAccessor test11 nc216859 -0.001 365.0 100.0 3.5 0
Fetching event: nc216859
https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc216859.geojson
Count of events received = 1
ObsEqkRupture:
rup_event_id = nc216859
rup_time = 624672255190 (1989-10-18 00:04:15 UTC)
rup_mag = 6.9
rup_lat = 37.0361667
rup_lon = -121.8798333
rup_depth = 17.214
description = Loma Prieta, California Earthquake
ids = ,nc216859,nclomaprie,usp00040t8,choy19891018000415,gcmtm101889a,ushis4150,gcmt19891018000415,iscgem389808,atlas19891018000415,
net = nc
code = 216859

http_status = 200
Fetching event list
min_days = -0.001
max_days = 365.0
radius_km = 100.0
min_mag = 3.5
limit_per_call = 0
https://earthquake.usgs.gov/fdsnws/event/1/query?endtime=1990-10-18T00:04:15.190Z&format=geojson&latitude=37.03617&limit=20000&longitude=-121.87983&maxdepth=700.000&maxradius=0.89993&mindepth=-5.000&minmagnitude=3.500&orderby=time&starttime=1989-10-18T00:02:48.790Z
Count of events received = 134
Count of events after filtering = 133
Events filtered due to conversion = 0, location = 0, id = 1
Total number of events returned = 133
Events returned by fetchEventList = 133
http_status[0] = 200
List of events returned by fetchEventList:
0: nc20092396 (time = 1990-10-05 06:04:17 UTC, mag = 3.600, lat = 37.07400, lon = -122.01517, depth = 12.440)
1: nc20092324 (time = 1990-09-26 02:53:55 UTC, mag = 3.500, lat = 37.38533, lon = -122.17617, depth = 6.541)
2: nc164550 (time = 1990-09-23 02:59:52 UTC, mag = 3.600, lat = 36.81183, lon = -121.53433, depth = 6.577)
3: nc20092201 (time = 1990-09-11 07:13:31 UTC, mag = 4.400, lat = 36.66467, lon = -121.29150, depth = 7.528)
4: nc20092198 (time = 1990-09-10 01:43:14 UTC, mag = 3.500, lat = 36.89317, lon = -121.62917, depth = 7.271)
5: nc20092176 (time = 1990-09-08 14:20:17 UTC, mag = 3.700, lat = 36.67950, lon = -121.30667, depth = 6.798)
6: nc20092174 (time = 1990-09-08 12:52:02 UTC, mag = 3.700, lat = 36.67800, lon = -121.30417, depth = 5.918)
7: nc20092173 (time = 1990-09-08 12:48:22 UTC, mag = 4.100, lat = 36.67967, lon = -121.30650, depth = 6.588)
8: nc20092159 (time = 1990-09-02 08:08:24 UTC, mag = 3.500, lat = 36.66917, lon = -121.29233, depth = 5.898)
9: nc20092117 (time = 1990-08-25 17:39:08 UTC, mag = 3.500, lat = 36.68167, lon = -121.30817, depth = 4.868)
10: nc20092078 (time = 1990-08-22 21:24:05 UTC, mag = 3.600, lat = 37.20967, lon = -122.06433, depth = 13.225)
11: nc20092038 (time = 1990-08-17 02:26:16 UTC, mag = 3.700, lat = 37.29300, lon = -121.66717, depth = 6.973)
12: nc20091966 (time = 1990-08-07 18:39:47 UTC, mag = 3.600, lat = 36.85367, lon = -121.31750, depth = 7.218)
13: nc20091962 (time = 1990-08-05 06:52:13 UTC, mag = 4.000, lat = 36.88050, lon = -121.62183, depth = 8.608)
14: nc20091676 (time = 1990-07-01 00:36:41 UTC, mag = 4.100, lat = 37.41483, lon = -121.76300, depth = 7.617)
15: nc20091356 (time = 1990-05-17 18:49:48 UTC, mag = 3.600, lat = 37.37333, lon = -121.72967, depth = 8.427)
16: nc20091187 (time = 1990-04-28 04:47:41 UTC, mag = 4.200, lat = 37.87067, lon = -121.98700, depth = 7.734)
17: nc20091186 (time = 1990-04-28 04:41:47 UTC, mag = 4.400, lat = 37.87600, lon = -121.97433, depth = 6.654)
18: nc20091192 (time = 1990-04-22 02:00:15 UTC, mag = 3.800, lat = 36.90300, lon = -121.63267, depth = 5.781)
19: nc1175485 (time = 1990-04-19 14:07:45 UTC, mag = 3.600, lat = 36.91117, lon = -121.64367, depth = 4.080)
20: nc20091179 (time = 1990-04-18 16:19:13 UTC, mag = 3.900, lat = 36.93717, lon = -121.67133, depth = 7.751)
21: nc20091177 (time = 1990-04-18 16:06:28 UTC, mag = 3.700, lat = 36.94033, lon = -121.67167, depth = 7.561)
22: nc20091156 (time = 1990-04-18 15:48:25 UTC, mag = 3.600, lat = 36.94717, lon = -121.67583, depth = 7.561)
23: nc20091155 (time = 1990-04-18 15:46:03 UTC, mag = 5.100, lat = 36.95883, lon = -121.68450, depth = 6.641)
24: nc20091176 (time = 1990-04-18 15:36:51 UTC, mag = 4.000, lat = 36.94850, lon = -121.67617, depth = 7.453)
25: nc20091174 (time = 1990-04-18 15:28:16 UTC, mag = 4.400, lat = 36.94250, lon = -121.66917, depth = 7.133)
26: nc20091173 (time = 1990-04-18 14:52:23 UTC, mag = 4.000, lat = 36.91817, lon = -121.65067, depth = 7.603)
27: nc20091154 (time = 1990-04-18 13:53:51 UTC, mag = 5.400, lat = 36.93233, lon = -121.65683, depth = 5.488)
28: nc20091172 (time = 1990-04-18 13:41:38 UTC, mag = 4.900, lat = 36.93083, lon = -121.65600, depth = 5.748)
29: nc20091171 (time = 1990-04-18 13:38:10 UTC, mag = 4.700, lat = 36.92767, lon = -121.64217, depth = 4.473)
30: nc20091168 (time = 1990-04-18 13:37:56 UTC, mag = 4.300, lat = 36.92133, lon = -121.64917, depth = 5.698)
31: nc10091110 (time = 1990-04-10 03:28:21 UTC, mag = 3.600, lat = 36.88083, lon = -121.61450, depth = 6.878)
32: nc10091109 (time = 1990-04-07 20:08:59 UTC, mag = 4.000, lat = 36.90333, lon = -121.63233, depth = 5.601)
33: nc10091100 (time = 1990-04-07 02:51:11 UTC, mag = 3.600, lat = 37.87467, lon = -121.97917, depth = 7.787)
34: nc10091103 (time = 1990-04-07 02:41:11 UTC, mag = 3.700, lat = 37.86283, lon = -121.99617, depth = 6.317)
35: nc10091101 (time = 1990-04-07 02:39:17 UTC, mag = 4.400, lat = 37.87300, lon = -121.98167, depth = 7.927)
36: nc10091105 (time = 1990-04-06 22:41:26 UTC, mag = 3.900, lat = 37.86817, lon = -122.00100, depth = 8.684)
37: nc1174858 (time = 1990-04-06 20:55:52 UTC, mag = 3.700, lat = 37.86917, lon = -121.99850, depth = 8.024)
38: nc1174401 (time = 1990-03-28 06:08:25 UTC, mag = 3.600, lat = 36.86033, lon = -121.56783, depth = 6.364)
39: nc10090980 (time = 1990-03-23 13:50:18 UTC, mag = 3.700, lat = 36.86750, lon = -121.60833, depth = 8.507)
40: nc10090745 (time = 1990-02-12 01:48:17 UTC, mag = 3.800, lat = 36.86617, lon = -121.60100, depth = 7.297)
41: nc10090717 (time = 1990-02-07 14:12:14 UTC, mag = 4.100, lat = 36.95617, lon = -121.68200, depth = 6.701)
