comcat288 comcat.ComcatOAFAccessor test10 usp000hzf6 -0.001 365.0 100.0 3.5 0
Fetching event: usp000hzf6
https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/usp000hzf6.geojson
Count of events received = 1
ObsEqkRupture:
rup_event_id = usp000hzf6
rup_time = 1302186763290 (2011-04-07 14:32:43 UTC)
rup_mag = 7.1
rup_lat = 38.276
rup_lon = 141.588
rup_depth = 42.0
description = 29 km ESE of Ishinomaki, Japan
ids = ,usc0002ksa,atlas20110407143200,atlas20110407143243,usp000hzf6,choy20110407143243,duputel201104071432a,iscgem16413596,
net = us
code = p000hzf6

http_status = 200
Fetching event list
min_days = -0.001
max_days = 365.0
radius_km = 100.0
min_mag = 3.5
limit_per_call = 0
https://earthquake.usgs.gov/fdsnws/event/1/query?endtime=2012-04-06T14:32:43.290Z&format=geojson&latitude=38.27600&limit=20000&longitude=141.58800&maxdepth=700.000&maxradius=0.89932&mindepth=-5.000&minmagnitude=3.500&orderby=time&starttime=2011-04-07T14:31:16.890Z
Count of events received = 308
Count of events after filtering = 307
Events filtered due to conversion = 0, location = 0, id = 1
Total number of events returned = 307
Events returned by fetchEventList = 307
http_status[0] = 200
List of events returned by fetchEventList:
0: usp000jh54 (time = 2012-04-02 17:48:16 UTC, mag = 4.900, lat = 38.87100, lon = 142.09900, depth = 66.000)
1: usp000jh3f (time = 2012-04-01 08:48:54 UTC, mag = 4.600, lat = 37.94500, lon = 142.52100, depth = 39.500)
2: usp000jgz6 (time = 2012-03-30 04:38:33 UTC, mag = 5.100, lat = 37.53900, lon = 141.24400, depth = 57.200)
3: usp000jgyv (time = 2012-03-29 20:38:18 UTC, mag = 4.700, lat = 38.33500, lon = 141.85200, depth = 67.300)
4: usp000jgs1 (time = 2012-03-25 13:22:41 UTC, mag = 5.200, lat = 37.69200, lon = 141.60300, depth = 62.200)
5: usp000jgrw (time = 2012-03-25 12:22:58 UTC, mag = 4.600, lat = 38.55200, lon = 141.57900, depth = 51.600)
6: usp000jgkv (time = 2012-03-21 18:25:06 UTC, mag = 4.600, lat = 38.61800, lon = 141.86400, depth = 68.000)
7: usp000jgkt (time = 2012-03-21 18:05:17 UTC, mag = 4.800, lat = 37.63700, lon = 142.15200, depth = 26.000)
8: usp000jgd3 (time = 2012-03-17 13:47:38 UTC, mag = 4.600, lat = 38.15700, lon = 141.49900, depth = 64.800)
9: usp000jga1 (time = 2012-03-15 14:21:49 UTC, mag = 4.800, lat = 38.07400, lon = 141.86600, depth = 54.800)
10: usp000jg7n (time = 2012-03-14 10:29:43 UTC, mag = 4.400, lat = 37.66900, lon = 142.39600, depth = 28.900)
11: usp000jg2c (time = 2012-03-10 21:28:02 UTC, mag = 4.300, lat = 37.94300, lon = 142.27500, depth = 38.600)
12: usp000jg0m (time = 2012-03-10 01:33:34 UTC, mag = 4.400, lat = 38.32600, lon = 141.88200, depth = 57.000)
13: usp000jfyh (time = 2012-03-08 16:41:37 UTC, mag = 4.700, lat = 38.79100, lon = 142.33400, depth = 51.500)
14: usp000jfxs (time = 2012-03-08 03:23:30 UTC, mag = 4.800, lat = 38.56700, lon = 141.64800, depth = 63.900)
15: usp000jfx2 (time = 2012-03-07 18:41:23 UTC, mag = 4.700, lat = 38.32000, lon = 142.14400, depth = 71.400)
16: usp000jfv6 (time = 2012-03-06 09:50:22 UTC, mag = 4.600, lat = 37.75800, lon = 141.66200, depth = 51.900)
17: usp000jfqz (time = 2012-03-03 13:26:21 UTC, mag = 4.600, lat = 38.96800, lon = 141.90200, depth = 66.800)
18: usp000jfgs (time = 2012-02-27 16:30:35 UTC, mag = 4.700, lat = 38.56800, lon = 141.74800, depth = 69.000)
19: usp000jf9h (time = 2012-02-23 19:27:59 UTC, mag = 4.800, lat = 39.00900, lon = 142.18000, depth = 65.500)
20: usp000jf5m (time = 2012-02-20 19:16:24 UTC, mag = 4.600, lat = 38.79100, lon = 142.30700, depth = 61.500)
21: usp000jf3e (time = 2012-02-18 21:44:00 UTC, mag = 4.700, lat = 38.00500, lon = 141.90800, depth = 48.900)
22: usp000jf2g (time = 2012-02-18 07:07:25 UTC, mag = 4.500, lat = 38.67700, lon = 141.70400, depth = 67.800)
23: usp000jf06 (time = 2012-02-16 05:09:39 UTC, mag = 4.400, lat = 38.49500, lon = 142.17200, depth = 44.800)
24: usp000jeyw (time = 2012-02-15 06:28:37 UTC, mag = 5.000, lat = 37.80300, lon = 141.47500, depth = 61.400)
