regionName,a,asig,logc,p,covaa,covpp,covcc,covap,covac,covcp,Nms,alpha,b,mref,mmax
ANSR-ABSLDEC,-2.2,0.307,-2.231,1.04,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
ANSR-ABSLOCB,-2.52,0.341,-1.006,1.072,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
ANSR-ABSLSHC,-2.652,0.467,-3.3,0.953,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
ANSR-DEEPCON,-2.23,0.319,-2.059,1.078,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
ANSR-HOTSPOT,-3.143,0.572,-4.036,1.108,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
ANSR-OCEANBD,-2.959,0.417,-2.569,1.006,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
ANSR-SHALCON,-2.463,0.302,-2.762,0.96,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
SCR-GENERIC,-2.364,0.71,-1.27,1.042,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
SOR-GENERIC,-3.302,0.337,-3.868,1.136,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
SZ-GENERIC,-2.268,0.292,-2.47,0.981,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9.5
SZ-INLBACK,-2.47,0.387,-3.434,0.975,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9.5
SZ-ONSHORE,-2.282,0.371,-2.73,0.931,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9.5
SZ-OUTERTR,-2.298,0.386,-2.624,1.017,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9.5
GLOBAL-AVERAGE,-2.43,0.395,-2.565,0.966,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9.5
CALIFORNIA,-2.35,0.302,-1.7696,1.01,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,2.5,9
SOR-ABVSLAB,-3.302,0.337,-3.868,1.136,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
SCR-ABVSLAB,-2.364,0.71,-1.27,1.042,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9
